Denominator,cum_mean_dev_event
1,0.004611837048424265
2,0.11068408916218303
3,0.4087535872316808
4,0.6166666981703931
5,0.7861845830848564
6,0.9546713225544353
7,1.1156088225544356
8,1.3068313930873512
9,1.450473465300852
10,1.6042589542598424
11,1.7425988752084591
12,1.9068845894941733
13,2.0357628711170848
14,2.1923123918838576
15,2.343512391883858
16,2.52159458366468
17,2.69258323844588
18,2.8775873134255048
19,3.086432522270714
20,3.254757563730084
21,3.4092209539005953
22,3.6238194940465807
23,3.845787457433308
24,4.0502484239760594
25,4.26274842397606
26,4.434465595693232
27,4.5951798814075175
28,4.716392002619639
29,4.924725335952972
30,5.049725335952972
31,5.383058669286305
32,5.716392002619638
33,5.883058669286305
34,6.883058669286305
35,7.549725335952972
36,7.549725335952972
